"Azimuth","Fetch"
0,452.528722056084
5,488.723521981428
10,469.370074561253
15,454.802152402871
20,444.374403595853
25,409.923514330771
30,375.157548947574
35,348.254354919669
40,86.0608763420955
45,81.748693957993
50,78.4149025285787
55,75.8968234391914
60,74.082012259224
65,72.8948619352806
70,72.288403604058
75,72.2395505383127
80,72.7468541729711
85,73.8303572371104
90,75.5335174573462
95,77.927555783897
100,81.1190716736523
105,85.2625311072019
110,90.5805758347792
115,97.3976596694367
120,106.197725862531
125,115.671191382164
130,113.713467881433
135,112.665348686681
140,131.013940082689
145,372.071736962692
150,495.977151927421
155,499.726067602142
160,507.405094368735
165,519.31537627792
170,531.013572190104
175,540.644553894212
180,554.905553710706
185,561.997247644786
190,564.921794898091
195,572.230393256685
200,584.213475029127
205,604.866500491469
210,633.109463252831
215,748.76818892382
220,862.789857530661
225,1012.266760995
230,1128.1436579153
235,1098.34567511871
240,801.880129155395
245,863.322530748957
250,870.952027462318
255,902.600996981307
260,403.139914909381
265,360.191449703362
270,327.776460460146
275,302.839909367552
280,283.446414465873
285,485.846471159777
290,466.215816027904
295,451.431603401924
300,440.824711888543
305,412.486404160097
310,390.214160624029
315,372.928454569973
320,359.738468322279
325,350.026030127434
330,349.054800249254
335,356.324654109461
340,366.741978350528
345,380.756500742115
350,399.024273388199
355,422.490952399135
